#     wavelength(A)    kappa_tot (cm2/g)     kappa_es (cm2/g)   kappa_bf+ff (cm2/g)      dummy          kappa_bb (cm2/g)        dummy               rho                 v/c              
# t = 5.5 days
    1.6515000000E+03    7.6878253174E+02    2.1134196535E-04    4.2666536943E-14    4.9921469727E+03    7.6878234863E+02    1.6703538509E-13    2.8011914255E-16    1.5385769612E-01
    1.6637500000E+03    4.1459640503E+02    2.1134196535E-04    4.3637036801E-14    1.7802552734E+04    4.1459622192E+02    1.2014637874E-13    2.8011914255E-16    1.5385769612E-01
    1.6760000000E+03    3.5984347534E+02    2.1134196535E-04    4.4621167113E-14    7.0308258057E+02    3.5984323120E+02    1.3846054565E-13    2.8011914255E-16    1.5385769612E-01
    1.6882500000E+03    6.9996228027E+02    2.1134196535E-04    4.5618985477E-14    2.5051938477E+03    6.9996203613E+02    3.5604527139E-13    2.8011914255E-16    1.5385769612E-01
    1.7005000000E+03    5.1717828369E+02    2.1134196535E-04    4.6630556269E-14    5.7076523438E+03    5.1717810059E+02    3.4627549851E-13    2.8011914255E-16    1.5385769612E-01
    1.7127500000E+03    4.0197760010E+02    2.1134196535E-04    4.7655940473E-14    5.6834316406E+03    4.0197738647E+02    3.5278336784E-13    2.8011914255E-16    1.5385769612E-01
    1.7250000000E+03    4.2781320190E+02    2.1134196535E-04    4.8695205854E-14    1.6988783264E+02    4.2781301880E+02    4.9011624837E-13    2.8011914255E-16    1.5385769612E-01
    1.7372500000E+03    5.3483239746E+02    2.1134196535E-04    4.9748406620E-14    5.7213299561E+02    5.3483221436E+02    7.9662475618E-13    2.8011914255E-16    1.5385769612E-01
    1.7495000000E+03    6.3587579346E+02    2.1134196535E-04    5.0815620700E-14    9.4121716309E+02    6.3587561035E+02    1.2265622545E-12    2.8011914255E-16    1.5385769612E-01
    1.7617500000E+03    5.4428570557E+02    2.1134196535E-04    5.1896898915E-14    1.8149873047E+03    5.4428552246E+02    1.3544159284E-12    2.8011914255E-16    1.5385769612E-01
    1.7740000000E+03    8.4735668945E+02    2.1134196535E-04    5.2992315803E-14    9.1389208984E+02    8.4735650635E+02    2.7099509702E-12    2.8011914255E-16    1.5385769612E-01
    1.7862500000E+03    6.4256060791E+02    2.1134196535E-04    5.4101928964E-14    5.1641827393E+02    6.4256042480E+02    2.6313335191E-12    2.8011914255E-16    1.5385769612E-01
    1.7985000000E+03    2.9007083130E+02    2.1134196535E-04    5.5225816325E-14    2.6525823975E+02    2.9007061768E+02    1.5155233839E-12    2.8011914255E-16    1.5385769612E-01
    1.8107500000E+03    5.6562426758E+02    2.1134196535E-04    5.6364032094E-14    1.4041320801E+03    5.6562408447E+02    3.7570476244E-12    2.8011914255E-16    1.5385769612E-01
