#     wavelength(A)    kappa_tot (cm2/g)     kappa_es (cm2/g)   kappa_bf+ff (cm2/g)      dummy          kappa_bb (cm2/g)        dummy               rho                 v/c              
# t = 2.5 days
    1.2962500000E+03    6.5786871338E+02    4.5736134276E-03    1.7769871521E+02    4.2065792969E+04    4.8016537476E+02    2.5410620496E-02    3.1429883839E-15    1.5385769612E-01
    1.3085000000E+03    5.7831408691E+02    4.5736134276E-03    1.7768104553E+02    3.4546890625E+04    4.0062841797E+02    2.6136413217E-02    3.1429883839E-15    1.5385769612E-01
    1.3207500000E+03    6.2462664795E+02    4.5736134276E-03    1.7794506836E+02    2.8191683594E+04    4.4667700195E+02    3.2919120044E-02    3.1429883839E-15    1.5385769612E-01
    1.3330000000E+03    5.3250775146E+02    4.5736134276E-03    1.7853096008E+02    1.0677860352E+04    3.5397219849E+02    3.2619625330E-02    3.1429883839E-15    1.5385769612E-01
    1.3452500000E+03    6.1949468994E+02    4.5736134276E-03    1.7948674011E+02    9.7395800781E+03    4.4000335693E+02    4.3968182057E-02    3.1429883839E-15    1.5385769612E-01
    1.3575000000E+03    6.1189727783E+02    4.5736134276E-03    1.8087008667E+02    3.0216640625E+03    4.3102258301E+02    5.0163447857E-02    3.1429883839E-15    1.5385769612E-01
    1.3697500000E+03    6.4076251221E+02    4.5736134276E-03    1.8275079346E+02    4.9344750977E+03    4.5800714111E+02    6.0494001955E-02    3.1429883839E-15    1.5385769612E-01
    1.3820000000E+03    6.6896936035E+02    4.5736134276E-03    1.8521398926E+02    7.0111572266E+03    4.8375076294E+02    7.2520777583E-02    3.1429883839E-15    1.5385769612E-01
    1.3942500000E+03    6.0666119385E+02    4.5736134276E-03    1.8836428833E+02    2.4432229004E+03    4.1829235840E+02    7.5303085148E-02    3.1429883839E-15    1.5385769612E-01
    1.4065000000E+03    5.8273223877E+02    4.5736134276E-03    1.9233132935E+02    2.4113630859E+04    3.9039633179E+02    8.2594193518E-02    3.1429883839E-15    1.5385769612E-01
    1.4187500000E+03    5.7414782715E+02    4.5736134276E-03    1.9727749634E+02    2.3145769043E+03    3.7686578369E+02    9.2673219740E-02    3.1429883839E-15    1.5385769612E-01
    1.4310000000E+03    6.9298486328E+02    4.5736134276E-03    2.0340824890E+02    1.0707049805E+04    4.8957205200E+02    1.2704932690E-01    3.1429883839E-15    1.5385769612E-01
    1.4432500000E+03    6.9230181885E+02    4.5736134276E-03    2.1098681641E+02    6.8570908203E+03    4.8131042480E+02    1.4380018413E-01    3.1429883839E-15    1.5385769612E-01
    1.4555000000E+03    6.9095745850E+02    4.5736134276E-03    2.2035484314E+02    4.4408862305E+03    4.7059802246E+02    1.6220259666E-01    3.1429883839E-15    1.5385769612E-01
    1.4677500000E+03    6.8418597412E+02    4.5736134276E-03    2.3196272278E+02    1.1899163818E+03    4.5221871948E+02    1.8108333647E-01    3.1429883839E-15    1.5385769612E-01
    1.4800000000E+03    6.1691027832E+02    4.5736134276E-03    2.4641413879E+02    1.4101201172E+03    3.7049157715E+02    1.8365663290E-01    3.1429883839E-15    1.5385769612E-01
    1.4922500000E+03    5.1151712036E+02    4.5736134276E-03    2.6453442383E+02    1.2689667969E+03    2.4697813416E+02    1.7089675367E-01    3.1429883839E-15    1.5385769612E-01
    1.5045000000E+03    5.9513085938E+02    4.5736134276E-03    2.8747726440E+02    8.9044500732E+02    3.0764901733E+02    2.2264400125E-01    3.1429883839E-15    1.5385769612E-01
    1.5167500000E+03    6.5475433350E+02    4.5736134276E-03    3.1689779663E+02    5.9493786621E+02    3.3785195923E+02    2.7369123697E-01    3.1429883839E-15    1.5385769612E-01
    1.5290000000E+03    7.0619616699E+02    4.5736134276E-03    3.5524404907E+02    2.4285114746E+03    3.5094757080E+02    3.2913568616E-01    3.1429883839E-15    1.5385769612E-01
    1.5412500000E+03    6.9423077393E+02    4.5736134276E-03    4.0627075195E+02    4.5081619263E+02    2.8795544434E+02    3.6001992226E-01    3.1429883839E-15    1.5385769612E-01
    1.5535000000E+03    8.2391912842E+02    4.5736134276E-03    4.7599649048E+02    7.7237811279E+02    3.4791812134E+02    4.7447073460E-01    3.1429883839E-15    1.5385769612E-01
