Time 	 	 Temperature 	 	 Tau 
0.1 	 	 140114 	 	 	 12229.5 
0.1 	 	 51050.4 	 	 	 394.171 
0.1 	 	 126586 	 	 	 12075.2 
0.1 	 	 47463.8 	 	 	 222.628 
0.1 	 	 39996.2 	 	 	 77.5137 
0.1 	 	 230544 	 	 	 93507.5 
0.1 	 	 69737.1 	 	 	 1011.69 
0.1 	 	 51087 	 	 	 376.432 
0.1 	 	 39642.5 	 	 	 90.5675 
0.1 	 	 38567.5 	 	 	 96.9205 
0.1 	 	 214418 	 	 	 132295 
0.1 	 	 64728 	 	 	 579.214 
0.1 	 	 97759.6 	 	 	 3819.65 
0.1 	 	 41657.7 	 	 	 167.399 
0.1 	 	 43958.9 	 	 	 103.018 
0.1 	 	 62980.5 	 	 	 626.651 
0.1 	 	 59618.8 	 	 	 481.2 
0.1 	 	 156421 	 	 	 26703.6 
0.1 	 	 54333.9 	 	 	 515.687 
0.1 	 	 49201.5 	 	 	 300.553 
0.1 	 	 56564.3 	 	 	 581.724 
0.1 	 	 156421 	 	 	 20908.2 
0.1 	 	 154253 	 	 	 17050.5 
0.1 	 	 135902 	 	 	 20224.6 
0.1 	 	 134597 	 	 	 18481.5 
0.1 	 	 107126 	 	 	 6113.94 
0.1 	 	 207748 	 	 	 92048.5 
0.1 	 	 56564.3 	 	 	 607.101 
0.1 	 	 81843 	 	 	 1093.3 
0.1 	 	 230544 	 	 	 112808 
0.1 	 	 48916.4 	 	 	 251.537 
0.1 	 	 42264.8 	 	 	 156.904 
0.1 	 	 207748 	 	 	 53866.6 
0.1 	 	 102051 	 	 	 4887.05 
0.1 	 	 158705 	 	 	 22638.1 
0.1 	 	 39132.9 	 	 	 149.865 
0.1 	 	 50371 	 	 	 410.698 
0.1 	 	 191508 	 	 	 78361.7 
0.1 	 	 77537.5 	 	 	 1275.31 
0.1 	 	 93383.2 	 	 	 4435.4 
0.1 	 	 117648 	 	 	 7123.72 
0.1 	 	 52639.4 	 	 	 395.806 
0.1 	 	 128696 	 	 	 16666.7 
0.1 	 	 132119 	 	 	 13718.3 
0.1 	 	 87441.4 	 	 	 3478.58 
0.1 	 	 58675.8 	 	 	 615.536 
0.1 	 	 166372 	 	 	 32414.4 
0.1 	 	 38900.4 	 	 	 104.545 
0.1 	 	 132119 	 	 	 17864.4 
0.1 	 	 175601 	 	 	 57930.4 
0.1 	 	 106037 	 	 	 4499.13 
0.1 	 	 75594.3 	 	 	 1635.31 
0.1 	 	 187036 	 	 	 52641.8 
0.1 	 	 121818 	 	 	 8638.5 
0.1 	 	 201782 	 	 	 83413.5 
0.1 	 	 97365.6 	 	 	 3890.91 
0.1 	 	 43219.9 	 	 	 221.665 
0.1 	 	 175601 	 	 	 59995.4 
0.1 	 	 182924 	 	 	 52037.2 
